docker compose logs -t -f
sender_grouper_q3                                                      | 2025-11-16T19:56:29.139160166Z 2025-11-16 19:56:29 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3ef8d00> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
sender_grouper_q3                                                      | 2025-11-16T19:56:29.139163500Z 2025-11-16 19:56:29 INFO     Created channel=1
sender_grouper_q3                                                      | 2025-11-16T19:56:29.172937416Z 2025-11-16 19:56:29 INFO     Pika version 1.3.2 connecting to ('172.18.0.5', 5672)
sender_grouper_q3                                                      | 2025-11-16T19:56:29.173657875Z 2025-11-16 19:56:29 INFO     Socket connected: <socket.socket fd=18, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=6, laddr=('172.18.0.83', 42062), raddr=('172.18.0.5', 5672)>
sender_grouper_q3                                                      | 2025-11-16T19:56:29.173960458Z 2025-11-16 19:56:29 INFO     Streaming transport linked up: (<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3ee2b20>, _StreamingProtocolShim: <SelectConnection PROTOCOL transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3ee2b20> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>).
sender_grouper_q3                                                      | 2025-11-16T19:56:29.184110500Z 2025-11-16 19:56:29 INFO     AMQPConnector - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3ee2b20> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
sender_grouper_q3                                                      | 2025-11-16T19:56:29.184519041Z 2025-11-16 19:56:29 INFO     AMQPConnectionWorkflow - reporting success: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3ee2b20> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
sender_grouper_q3                                                      | 2025-11-16T19:56:29.184530000Z 2025-11-16 19:56:29 INFO     Connection workflow succeeded: <SelectConnection OPEN transport=<pika.adapters.utils.io_services_utils._AsyncPlaintextTransport object at 0xffffa3ee2b20> params=<ConnectionParameters host=rabbitmq port=5672 virtual_host=/ ssl=False>>
sender_grouper_q3                                                      | 2025-11-16T19:56:29.184532416Z 2025-11-16 19:56:29 INFO     Created channel=1
sender_grouper_q3                                                      | 2025-11-16T19:56:29.201747333Z 2025-11-16 19:56:29 INFO     Starting Sender...
sender_grouper_q3                                                      | 2025-11-16T19:56:29.209959958Z 2025-11-16 19:56:29 INFO     Sender started - input queue: sender_grouper_q3_signal, output queues: ['resultados_groupby_q3']
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.599953639Z DEBUG: Read TIMEOUTS.startup-timeout: 5.0 -> 5.0
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.599978722Z DEBUG: Read TIMEOUTS.consumer-graceful-shutdown: 5.0 -> 5.0
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.599981305Z DEBUG: Read TIMEOUTS.consumer-thread-join: 2.0 -> 2.0
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.599983055Z DEBUG: Read TIMEOUTS.consumer-force-stop: 2.0 -> 2.0
distribuidos-coffee-shop-analysis-reducer_q4-1                         | 2025-11-16T19:56:28.599984847Z DEBUG: Read TIMEOUTS.data-events-time-limit: 0.1 -> 0.1
