docker compose logs --timestamps -f
joiner_q1                          | 2025-10-01T02:58:09.411917484Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3400
joiner_q1                          | 2025-10-01T02:58:09.412190399Z Wrote 52 rows to /app/output/q1_unsorted.csv. Total rows written: 1002
joiner_q1                          | 2025-10-01T02:58:09.560522686Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=1891
joiner_q1                          | 2025-10-01T02:58:09.560535774Z Wrote 29 rows to /app/output/q1_unsorted.csv. Total rows written: 1031
joiner_q1                          | 2025-10-01T02:58:09.667419401Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2497
joiner_q1                          | 2025-10-01T02:58:09.667435722Z Wrote 38 rows to /app/output/q1_unsorted.csv. Total rows written: 1069
joiner_q1                          | 2025-10-01T02:58:09.803520441Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=4570
joiner_q1                          | 2025-10-01T02:58:09.803541830Z Wrote 70 rows to /app/output/q1_unsorted.csv. Total rows written: 1139
joiner_q1                          | 2025-10-01T02:58:09.868878855Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3004
joiner_q1                          | 2025-10-01T02:58:09.869366877Z Wrote 46 rows to /app/output/q1_unsorted.csv. Total rows written: 1185
joiner_q1                          | 2025-10-01T02:58:09.917581676Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2930
joiner_q1                          | 2025-10-01T02:58:09.917594903Z Wrote 45 rows to /app/output/q1_unsorted.csv. Total rows written: 1230
joiner_q1                          | 2025-10-01T02:58:10.001486065Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3656
joiner_q1                          | 2025-10-01T02:58:10.001498311Z Wrote 56 rows to /app/output/q1_unsorted.csv. Total rows written: 1286
joiner_q1                          | 2025-10-01T02:58:10.086015634Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3015
joiner_q1                          | 2025-10-01T02:58:10.088447576Z Wrote 46 rows to /app/output/q1_unsorted.csv. Total rows written: 1332
joiner_q1                          | 2025-10-01T02:58:10.167960576Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2546
joiner_q1                          | 2025-10-01T02:58:10.168029758Z Wrote 39 rows to /app/output/q1_unsorted.csv. Total rows written: 1371
joiner_q1                          | 2025-10-01T02:58:10.208858451Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3527
joiner_q1                          | 2025-10-01T02:58:10.208870087Z Wrote 54 rows to /app/output/q1_unsorted.csv. Total rows written: 1425
joiner_q1                          | 2025-10-01T02:58:10.305697291Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3000
joiner_q1                          | 2025-10-01T02:58:10.305714704Z Wrote 46 rows to /app/output/q1_unsorted.csv. Total rows written: 1471
joiner_q1                          | 2025-10-01T02:58:10.323959836Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3326
joiner_q1                          | 2025-10-01T02:58:10.324997227Z Wrote 51 rows to /app/output/q1_unsorted.csv. Total rows written: 1522
joiner_q1                          | 2025-10-01T02:58:10.385177646Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=4313
joiner_q1                          | 2025-10-01T02:58:10.385196141Z Wrote 66 rows to /app/output/q1_unsorted.csv. Total rows written: 1588
joiner_q1                          | 2025-10-01T02:58:10.520981889Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3526
joiner_q1                          | 2025-10-01T02:58:10.521081113Z Wrote 54 rows to /app/output/q1_unsorted.csv. Total rows written: 1642
joiner_q1                          | 2025-10-01T02:58:10.638291856Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3596
joiner_q1                          | 2025-10-01T02:58:10.638307146Z Wrote 55 rows to /app/output/q1_unsorted.csv. Total rows written: 1697
joiner_q1                          | 2025-10-01T02:58:10.678365157Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3126
joiner_q1                          | 2025-10-01T02:58:10.678381949Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 1745
joiner_q1                          | 2025-10-01T02:58:10.804680272Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3534
joiner_q1                          | 2025-10-01T02:58:10.804688593Z Wrote 54 rows to /app/output/q1_unsorted.csv. Total rows written: 1799
joiner_q1                          | 2025-10-01T02:58:10.891283592Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=4310
joiner_q1                          | 2025-10-01T02:58:10.891426103Z Wrote 66 rows to /app/output/q1_unsorted.csv. Total rows written: 1865
joiner_q1                          | 2025-10-01T02:58:10.994285398Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=3149
joiner_q1                          | 2025-10-01T02:58:10.996413542Z Wrote 48 rows to /app/output/q1_unsorted.csv. Total rows written: 1913
joiner_q1                          | 2025-10-01T02:58:11.039265772Z Received message from transactions_filtered_Q1_b: msg_type=1, data_type=1, payload_len=2875
